chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1742634441,2025-03-22T09:07:21Z,HG7PDK-2,HG7PDK-2,5(2/2),0,:,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634443,2025-03-22T09:07:23Z,HG7PDK-2,HG5PBP-1,7(3/2),0,:,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634443,2025-03-22T09:07:23Z,HG7PDK-2,HG5PBP-1,6(3/2),0,:,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634444,2025-03-22T09:07:24Z,HG7PDK-2,HG5PBP-1,6(2/3),0,:,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634444,2025-03-22T09:07:24Z,HG7PDK-2,HG5PBP-1,6(2/3),0,:,HG7PDK-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634445,2025-03-22T09:07:25Z,HG5PBP-1,HG5PBP-1,5(3/2),0,@,HG5PBP-1,/#,47.493833,18.987500,,,,,,,SQ3PLX http://microsat.com.pl/,,," Budapest (ASL: 442m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742634447,2025-03-22T09:07:27Z,HG5PBP-1,HG7PDK-2,5(2/2),0,@,HG5PBP-1,/#,47.493833,18.987500,,,,,,,SQ3PLX http://microsat.com.pl/,,," Budapest (ASL: 442m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742634454,2025-03-22T09:07:34Z,HG2PTH-2,HG7PDK-2?,5(2/2),0,@,HG2PTH-2,2#,46.920667,17.881000,,,,,,,SQ3PLX http://microsat.com.pl/,,," TIHANY (ASL: 205m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742634457,2025-03-22T09:07:37Z,HG2PTH-2,HG7PDK-2?,5(2/2),0,@,HG2PTH-2,2#,46.920667,17.881000,,,,,,,SQ3PLX http://microsat.com.pl/,,," TIHANY (ASL: 205m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742634497,2025-03-22T09:08:17Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),HG8PRC,/%,46.712167,20.124667,,,,,,,"DIXPRS - Bela, HA5DI",,, DXSider V1.55 build 0.82 telnet://hg8lxl.ham.hu:8000
